Ms. 177,"La Société d’Émulation de Roubaix au siècle dernier, 1868-1914",1990,1990,français|fre,papier,manuscrit,200 feuillets (153-200 blancs),295 x 270 mm,Reliure de type emboîtage en toile,"Ensemble de deux cahiers. Comprend la page de titre du manuscrit (fol. 1), un article de presse de la Voix du Nord (14 juin 1993) : «  La Société d’Émulation : l’histoire en héritage » de Brigitte Lemery (fol. 2), un texte autographe avec des annotations manuscrites de Jacques Prouvost, Président de la Société d’Émulation de Roubaix. ",Don de l’auteur,,,"Bernard Grelle|Grelle, Bernard",,,,,,,,,
Ms. 178,Dictionnaire de mythologie grecque et romaine,1914,1914,français|fre,papier,manuscrit,"445 feuillets (Vol I. 1-223 ff, Vol II. 224-445 ff)",300 x 275 mm,"Reliure toile écrue, pièce de titre dorée à la main sur dos","Ensemble comprenant une préface dans laquelle l’auteur, un professeur roubaisien, présente son travail et les circonstances dans lesquelles il fut réalisé (fol. 1-1v), suivie par les notices narratives classées par ordre alphabétique des principaux personnages de la mythologie grecque et romaine. ",Provenance inconnue,,,,,,,,,,,,
Ms. 179,"Roubaix, capitale du textile",1968,1968,français|fre,papier,dactylographie,152 feuillets,320 x 230 mm,Reliure pleine toile,Dactylographie avec annotations manuscrites de l’auteur. Indications liminaires (fol. 2) et une table des matières (fol. 7) manuscrites par l’auteur,Don de l’auteur,,,"Jean Piat|Piat, Jean",,,,,,,,,
Ms. 180,Atlas de géographie ,1854,1854,français|fre,papier,manuscrit,62 feuillets,570 x 415 mm,"Demi-reliure chagrin rouge à coins, faux-nerfs décorés à l’or, plats papiers rouges. Décor dos, fleuron dorés, aigles et grand motif central","Sur la page de titre de ce registre grand format figure le titre complet : « Atlas de géographie physique et politique de la France exécuté conformément au programme n° XIII du Plan d’Études des Lycées impériaux par les élèves de Rhétorique et de Logique – Sciences du Lycée impérial de Douai » ainsi que la mention suivante : « Cours de Mr Desdeviser du [Dezeri ou Dezert] » (fol. 1). L’ensemble comprend un dessin aquarellé pleine page représentant la France, glaive et lauriers à la main sur fond de drapeaux, réalisé par A. Martin de Logique-Sciences en 1854 (fol. 2), un sommaire avec le nom des élèves ayant concouru à l’exécution de l’Atlas, pour chaque planche ou commentaire (fol. 3), suivi des cartes et de leurs commentaires (fol. 4v-62). ",Provenance inconnue,http://www.bn-r.fr/fr/notice.php?id=Ms_180,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,,Lycée impérial de Douai,,,,,,,,
Ms. 181,La tenue des livres,1835,1835,français|fre,papier,manuscrit,7 feuillets,460 x 350 mm,"Demi-reliure veau vert, filets dorés à froid sur faux-nerfs, plats papiers imitation veau, frise encadrée dorée à froid. Le nom Adèle Lasson est doré au fer dans un losange sur le premier plat. Gardes en papiers marbrés anglais ","Cahier comprenant une décoration florale aquarellée sur la page de titre (fol. 1), suivi d’un mémento de comptabilité par l’exemple : journal de caisse, brouillon, modèle de facture. Une partie des textes est en très belle gothique rehaussée d’aquarelle (fol. 2-7v). Manuscrit réalisé à Reims ou dans ses environs. ",Achat au Salon du livre ancien de Wasquehal en 1994,http://www.bn-r.fr/fr/notice.php?id=Ms_181,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,"Adèle Lasson|Lasson, Adèle",,,,,,,,,
Ms. 182,Département du Nord,1884,1884,français|fre,papier,manuscrit,18 feuillets,250 x 330 mm,"Demi-reliure toile simili-cuir grenat, plats percaline à petit grain. Le mot Album estampé et doré au balancier figure sur le premier plat",Album comprenant une description calligraphiée du Département du Nord par arrondissements. Chacun des huits arrondissements est illustré d’une carte et de motifs floraux aquarellés. Réalisée selon la page de titre par Stéphanie Dervaux en août 1884. ,Achat au Salon du livre ancien de Wasquehal en 1994,http://www.bn-r.fr/fr/notice.php?id=Ms_182,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,"Stéphanie Dervaux|Dervaux, Stéphanie",,,,,,,,,
Ms. 183,Biographie littéraire,1873,1873,français|fre,papier,manuscrit,66 feuillets,247 x 340 mm,"Demi-reliure basane grenat, faux-nerfs, plats toile simili-cuir avec sur le premier de couverture un monogramme « M.M. » dans un encadré doré au fer","Sur la page de titre figure la mention suivante : « Communauté du Saint-Enfant Jésus, dite de Saint-Maur, Langres » dans un encadrement de feuilles et glands aquarellés (fol. 1). Registre contenant la liste d’auteurs français et étrangers et leurs œuvres principales sous forme de tableaux, présentés selon les périodes et accompagnés de commentaires dans une optique chrétienne. Les titres sont aquarellés. (fol. 2-60). L’album a été arrêté au bas du folio 60, au milieu d’une phrase. ",Achat au Salon du livre ancien de Wasquehal en 1994,http://www.bn-r.fr/fr/notice.php?id=Ms_183,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,"Marie Maret|Maret, Marie",,,,,,,,,
Ms. 184,Le chapeau : pygmalion et caméléon. Tome 1,1989,1989,français|fre,papier$carton,manuscrit$dactylographie,79 feuillets (pagination de l’auteur différente de la foliotation),305 x 270 mm,Reliure à spirale,Comprend un sommaire général pour les trois tomes (fol. 2). Suivi de « Histoire du chapeau des origines aux années 20 » (fol. 3-79). Les feuillets 63 à 70v comportent des illustrations en couleur (extraits de presse) découpées dans des magazines de mode. ,Achat. Inscrit dans le registre des entrées sous le numéro d’inventaire 151 139,,,"Chantal Voisin|Voisin, Chantal",,,,,,,,,
Ms. 185,Le chapeau : pygmalion et caméléon. Tome 2,1989,1989,français|fre,papier$carton,manuscrit$dactylographie,67 feuillets (pagination de l’auteur différente de la foliotation),305 x 270 mm,Reliure à spirale,"Comprend « Le chapeau modiste et ses matériaux » (fol. 2-11 ; 29-36 ; 40-55). Les feuillets 12 à 28v, 37 à 39 et 56 à 67 comportent des illustrations en couleur (extraits de presse) découpées dans des magazines de mode. ",Achat. Inscrit dans le registre des entrées sous le numéro d’inventaire 151 140,,,"Chantal Voisin|Voisin, Chantal",,,,,,,,,
Ms. 186,Le chapeau : pygmalion et caméléon. Tome 3,1989,1989,français|fre,papier$carton,manuscrit$dactylographie,79 feuillets (pagination de l’auteur différente de la foliotation),305 x 270 mm,Reliure à spirale,"Comprend « L’art des modistes et des couturiers modélistes » (fol. 2-33 ; 36-42 ; 54-58 ; 68-79). Les feuillets 34 à 35, 43 à 53 et 59 à 67 comportent des illustrations en couleur (extraits de presse) découpées dans des magazines de mode. ",Achat. Inscrit dans le registre des entrées sous le numéro d’inventaire 151 141,,,"Chantal Voisin|Voisin, Chantal",,,,,,,,,
Ms. 187,Dictionnaire des figures héraldiques de l’armorial du Nord du chanoine Leuridan,1945,1945,français|fre,papier,manuscrit,213 feuillets,270 x 215 mm,Reliure toile,"Manuscrit ne comportant aucune indication sur l’auteur de ce dictionnaire, réalisé sans doute d’après « l’Armorial des communes du département du Nord » de Théodore Leuridan (Lille, 1909) et de « l’Armorial du Nord : familles et institutions » de Théodore Leuridan (Lille : Impr. H. Morel, 1926). ",Achat en 1994 auprès de la Librairie F. Giard,,,,,,,,,,,,
Ms. 188,Quand tournaient les moulins,1959,1959,français|fre,papier,dactylographie,186 feuillets,265 x 202 mm,"Demi-reliure chagrin à coins, faux-nerfs et dorure entrefilet","Dactylographie avec une dédicace autographe. Roman ayant pour cadre le Roubaix du XVIIe siècle. Ensemble comprenant aussi 44 reproductions d’illustrations de Marcel Guillemyn, un faire-part de la naissance de Magali Holgodo-Duquesne (1973) ainsi qu’une carte de visite de Jules Duquesne. ",Don de Marcel Guillemyn en 1995,,,"Jules Duquesne|Duquesne, Jules",,,,,,,,,
Ms. 189,Cours de tissage. 2ème année,1887,1887,français|fre,papier,manuscrit,47 feuillets,450 x 320 mm,"Demi-reliure chagrin, cousue sur trois rubans, charnières toiles, plats simili-cuir, gardes papier peigné","Sur la page de titre figure les mentions suivantes : « Ministère de l’instruction publique et des Beaux-Arts », « École nationale des Arts industriels de Roubaix ». Contient de nombreux schémas. Semble avoir appartenu à l’élève T. Poulard. ",Achat en 1996 auprès de la Librairie Devaux à Moulin,http://www.bn-r.fr/fr/notice.php?id=Ms_189,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,"T. Poulard|Poulard, T.",École nationale des Arts industriels de Roubaix,,,,,,,,
Ms. 190,"Lettres de Paul Dupin à Marcelle et Julien Tinayre, 4 février 1895-6 novembre 1921",4 février 1895-6 novembre 1921,1895/1921,français|fre,papier,manuscrit,37 feuillets,dimensions diverses,Feuillets volants,"Lettres manuscrites. L’ensemble contient aussi une carte de visite de Paul Dupin adressée à Marcelle Tinayre, non datée (fol. 1), deux programmes de représentation (fol. 2, fol. 33), une lettre non datée (fol. 25), et quelques annotations musicales (fol. 27-32). Contient aussi quatre photocopies de deux lettres, non datées, de Paul Dupin adressées à la famille Tinayre (fol. 34-37). ",Achat en 1996,,,"Paul Dupin|Dupin, Paul",,,,,,,,,
Ms. 191,Correspondance Van der Meersch,1942-1943,1942/1943,français|fre,papier,manuscrit,3 feuillets,dimensions diverses,Feuillets volants,"Lettres manuscrites. Courrier de Maxence Van der Meersch  à son éditeur (fol. 1). Courrier de Maxence Van der Meersch au Directeur des Services du ravitaillement de Roubaix (fol. 2-3), accompagné de l’enveloppe. ",Achat en 1995 auprès d’une librairie ancienne à Rosières (fol. 1). Don de Marcel Guillemyn (fol. 2-3). Inscrit dans le registre des entrées sous le numéro d’inventaire 170 078,http://www.bn-r.fr/fr/notice.php?id=VDM_COR6_D01,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,"Maxence Van der Meersch|Van der Meersch, Maxence",,,,,,,,,
Ms. 192,Correspondance Gustave Nadaud,1836-1955,1836/1955,français|fre,papier,manuscrit$dactylographie$imprimé,111 feuillets,dimensions diverses,Feuillets volants,"Correspondances. Sous ce titre sont rassemblés des lettres manuscrites autographes et divers documents sur Gustave Nadaud, illustre poète et chansonnier roubaisien. L’ensemble comprend : un double feuillet contenant une notice biographique avec un portrait de G. Nadaud, 1910, (fol. 1-2) ; trois partitions manuscrites non datées : « Raisonnement » (fol. 3-4), une partition sans titre (fol. 75), « La collectionneuse » (fol. 76) ; deux chansons manuscrites : « Ô mon Pays » (1867 ?, fol. 8), « Au Château » (1873 ?, fol. 9-10) ; un dessus d’étiquette de fil chromolithographique « Fil à Nadaud. Chansonnier roubaisien », édité par le producteur de fil S.C.E, illustrant le monument dédié à G. Nadaud (fol. 5) ; une lettre de G. Nadaud à Louis Motte-Bossut, 20 octobre 1868 (fol. 6), une lettre de G. Nadaud à Léon Motte, 1er février 1892 (fol. 7) ; une lettre de G. Nadaud à ses parents, 13 juin 1836, (fol. 11) ; une lettre d’Édouard Vouzelle à Caroline Nadaud, 29 juin  1836, (fol. 12) ; lettres de G. Nadaud à Léon Laurent-Pichat, août 1853-avril 1875 (fol. 13-26, 28-32, 35) ; lettre de G. Nadaud à un destinataire non identifié, 9 avril 1867, (fol. 27) ; trois lettres de G. Nadaud à Mme Beaujon, respectivement datées du 1er septembre 1869 (fol. 33), du 2 mars 1871 (fol. 34) et du 30 novembre 1875 (fol. 36) ; lettres de G. Nadaud à Henri Verlais, datées du 3 juin 1885 (fol. 37) et du 5 septembre 1888 (fol. 38) ; lettre de G. Nadaud à Georges Boyer, 14 août 1890 (fol. 39) ; Lettres de G. Nadaud à Louis Derreumaux, novembre 1891-décembre 1891, (fol. 40-43) ; lettre de Théophile Gide à G. Nadaud, illustrée d’un dessin (fol. 44) ; lettre de Gilles de Saint-Germain (de la Comédie Française) à G. Nadaud (fol. 45) ; lettre de G. Nadaud à Gustave Vouzelle (fol. 46) ; lettre de Ernest Chebroux à Gustave Vouzelle, 7 septembre 1893 (fol. 47) ; du folio 48 à 74, les copies dactylographiées des lettres autographes ; courrier d’un expéditeur inconnu à G. Nadaud portant l’entête de l’institution de Notre Dame des Victoires de Roubaix, 1861, (fol. 79). Contient aussi divers document relatifs au décès de Gustave Nadaud : lettre de condoléances de M. Jules Célés, président d’honneur de la Société des Amis de la chanson de Lyon, à Gustave Vouzelle, neveu du chansonnier, 5 mai 1893 (fol. 83) ; imprimés administratifs concernant les préparatifs de son convoi funéraire (fol. 84-86). Suivi de divers documents portant sur le projet de concours pour la construction d’un monument à la mémoire de G. Nadaud : règlement du concours, 1er février 1894 (fol. 87) ; extraits de la lettre de M. Lefort, inspecteur des Beaux-Arts, membre de la commission du concours Nadaud ; lettres de Ernest Chebroux à Gustave Vouzelle, août-septembre 1894 (fol. 89-90) ; lettre de M. Bury à G. Vouzelle accompagnée du discours prononcé lors de l’inauguration du monument, 22 novembre 1896 (fol.91-92) ; programme souvenir de la conférence de M. Achille Ségard sur G. Nadaud et son œuvre, 15 mars 1903 (fol. 94) ; Livret de sociétaire de la Mutuelle Nadaud, Société de prévoyance et de Secours Mutuels, délivré à M. Léon Dumoulin le 1er janvier 1929 (fol. 95-111). ","Achat Bernard Leseq en 2006 (112 €) (fol. 1-2). Don de Bernard Grelle en 2009 (fol. 5). Don de Jean Piat en 1996 (fol. 6-7). Don de M. Dupont, industriel tourquennois, en 1993 (fol. 8-10, 13-36, 48-74). Don de Mme Bove-Vianne (fol. 11). Dépôt du musée de Roubaix (fol. 37-38, 75). Don de Marcel Guillemyn (fol. 12, 39-43, 44-47). ",,,"Gustave Nadaud|Nadaud, Gustave",,,,,,,,,
Ms. 193,Registre d’inscription à l’arrivée des ouvrages de la Bibliothèque,1938-1951,1938/1951,français|fre,papier,manuscrit,56 feuillets,350 x 250 mm,"Demi-reliure toile simili-cuir à coins, plats papiers Annonay, étiquette manuscrite sur le plat supérieur",Le registre démarre le 11 mars 1938 au numéro d’inventaire 1 et s’achève le 11 avril 1951 au n° d’inventaire 1639. Une partie des ouvrages proviennent des dons de l’État. Il ne s’agit pas du premier livre d’inventaire de la bibliothèque de Roubaix. Bibliothèque inconnue. ,Provenance inconnue. Entré à la Bibliothèque de Roubaix en 1989. Inscrit dans le registre des entrées sous le numéro d’inventaire 148 651,http://www.bn-r.fr/fr/notice.php?id=Ms_193,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,,Bibliothèque Municipale de Roubaix,,,,,,,,
Ms. 194,Le poète Louis Decottignies et son temps,1990,1990,français|fre,papier,manuscrit,163 feuillets,310 x 220 mm,Reliure toile,"Lettre manuscrite de M. Jean Piat adressée à M. Bernard Grelle, datée du 8 août 1990, à propos du manuscrit (fol. 1). Sur la page de titre, l’auteur propose trois titres au choix (explication préalable dans la lettre accompagnant le manuscrit) (fol. 2). Contient aussi des photocopies de quelques poèmes : « Florilège de Louis Decottignies » (fol. 143-157).  ",Don de Bernard Grelle,,,"Jean Piat|Piat, Jean",,,,,,,,,
Ms. 195,Wattrelos : mille ans d’histoire,Vers 1969,1959/1979,français|fre,papier,dactylographie,170 feuillets (pagination de l’auteur différente de la foliotation),290 x 220 mm,Reliure toile,Dactylographie avec corrections manuscrites de l’auteur. ,Don de l’auteur,,,"Jean Piat|Piat, Jean",,,,,,,,,
